Date,Predicted Sales
2025-01-02,924.73
2025-01-03,929.49
2025-01-04,837.69
2025-01-05,851.32
2025-01-06,857.82
2025-01-07,813.03
2025-01-08,765.59
2025-01-09,746.52
2025-01-10,747.33
2025-01-11,653.58
2025-01-12,667.29
2025-01-13,675.89
2025-01-14,635.14
2025-01-15,593.6
2025-01-16,582.18
2025-01-17,592.24
2025-01-18,509.15
2025-01-19,534.73
2025-01-20,556.19
2025-01-21,529.09
2025-01-22,501.74
2025-01-23,504.8
2025-01-24,529.4
2025-01-25,460.69
2025-01-26,500.27
2025-01-27,535.15
2025-01-28,520.7
2025-01-29,505.07
2025-01-30,518.78
2025-01-31,552.85
